
--- Fetching tournaments for region: EU ---
Found 30 mobile-related tournaments in EU.
ID: epicgames_S37_BlitzMobileCup_EU | Title: Blitz Mobile Cup | Regions: EU
ID: epicgames_S37_BlitzMobileCupWeekly_EU | Title: Blitz Mobile Cup | Regions: EU
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_EU | Title: Axe of Champions Blitz Cup (Mobile) | Regions: EU
ID: epicgames_S37_SurfWitchBlitzMobileCup_EU | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: EU
ID: epicgames_S38_TouchOnlyMobileCup_EU | Title: Touch-Only Test Cup | Regions: EU
ID: epicgames_S38_BlitzMobileCup_EU | Title: Blitz Mobile Cup | Regions: EU
ID: epicgames_S38_StrangerThingsMobileCup_EU | Title: Stranger Things Cup Blitz (Mobile) | Regions: EU
ID: epicgames_S39_BlitzMobileCupDec_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_BlitzMobileCupDecQual_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_MobileSeriesJan_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_MobileSeriesCupJanQual_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_MobileSeriesFeb_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_MobileSeriesCupFebQual_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_SoloLevelingMobileCup_EU | Title: Solo Leveling: Arise Mobile Cup | Regions: EU
ID: epicgames_S39_MobileSeriesMar_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S39_MobileSeriesCupMarQual_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S40_MobileSeriesMar_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S40_MobileSeriesCupQual_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S40_MobileSeriesApr_EU | Title: Mobile Series | Regions: EU
ID: epicgames_S40_TripleThreatMobileCup_EU | Title: Triple Threat Mobile Cup | Regions: EU
ID: epicgames_S40_MobileSeriesMay_EU | Title: Mobile Series | Regions: EU

--- Fetching tournaments for region: NAC ---
Found 30 mobile-related tournaments in NAC.
ID: epicgames_S37_BlitzMobileCup_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S37_BlitzMobileCupWeekly_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_NAC | Title: Axe of Champions Blitz Cup (Mobile) | Regions: NAC
ID: epicgames_S37_SurfWitchBlitzMobileCup_NAC | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: NAC
ID: epicgames_S38_TouchOnlyMobileCup_NAC | Title: Touch-Only Test Cup | Regions: NAC
ID: epicgames_S38_BlitzMobileCup_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S38_StrangerThingsMobileCup_NAC | Title: Stranger Things Cup Blitz (Mobile) | Regions: NAC
ID: epicgames_S39_BlitzMobileCupDec_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_BlitzMobileCupDecQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesJan_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesCupJanQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesFeb_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesCupFebQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_SoloLevelingMobileCup_NAC | Title: Solo Leveling: Arise Mobile Cup | Regions: NAC
ID: epicgames_S39_MobileSeriesMar_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesCupMarQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S40_MobileSeriesMar_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S40_MobileSeriesCupQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S40_MobileSeriesApr_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S40_TripleThreatMobileCup_NAC | Title: Triple Threat Mobile Cup | Regions: NAC
ID: epicgames_S40_MobileSeriesMay_NAC | Title: Mobile Series | Regions: NAC

--- Fetching tournaments for region: NAE ---
Found 30 mobile-related tournaments in NAE.
ID: epicgames_S37_BlitzMobileCup_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S37_BlitzMobileCupWeekly_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_NAC | Title: Axe of Champions Blitz Cup (Mobile) | Regions: NAC
ID: epicgames_S37_SurfWitchBlitzMobileCup_NAC | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: NAC
ID: epicgames_S38_TouchOnlyMobileCup_NAC | Title: Touch-Only Test Cup | Regions: NAC
ID: epicgames_S38_BlitzMobileCup_NAC | Title: Blitz Mobile Cup | Regions: NAC
ID: epicgames_S38_StrangerThingsMobileCup_NAC | Title: Stranger Things Cup Blitz (Mobile) | Regions: NAC
ID: epicgames_S39_BlitzMobileCupDec_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_BlitzMobileCupDecQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesJan_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesCupJanQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesFeb_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_MobileSeriesCupFebQual_NAC | Title: Mobile Series | Regions: NAC
ID: epicgames_S39_SoloLevelingMobileCup_NAC | Title: Solo Leveling: Arise Mobile Cup | Regions: NAC
